PSN,PresBlue,PresRed,SenBlue,SenRed,CongD2011,CongD2021,SenD2011,SenD2021,HouseD2011,HouseD2021,OBJECTID,PName,PCode,County,Pop2010,Pct_Area,Pct_Perim,CountyName,Reg_Voters,PresOther,SenOther,Shape_Length,Shape_Area,Pop2020
97,206,683,221,663,2,2,25,25,84,84,298,WILLOW SPRINGS,049,003,2503,6.585845794,10.98539242,AIKEN,1380,13,16,36041.24162,70889454.14,2282
98,279,487,283,482,2,2,24,24,86,86,317,WINDSOR NO. 43,043,003,2036,113.2806862,53.94586901,AIKEN,1247,14,12,176987.4053,1219343159,2037
99,217,485,235,461,2,2,24,24,86,86,356,WINDSOR NO. 82,082,003,2040,75.79398036,40.03702408,AIKEN,1157,8,14,131354.8032,815839614.7,1762
100,544,6,548,115,6,2,40,40,91,91,361,ALLENDALE NO. 1,001,005,1851,18.35401863,28.94901105,ALLENDALE,1245,110,2,94976.88043,197561012.3,1488
101,614,3,632,15,6,2,45,40,91,91,362,ALLENDALE NO. 2,002,005,1863,3.452103883,9.487243114,ALLENDALE,1288,22,3,31126.06345,37158136.95,1388
102,224,0,228,129,6,2,40,40,91,91,363,FAIRFAX NO. 1,003,005,983,58.54574329,40.08000071,ALLENDALE,635,134,3,131495.8023,630181136,723
103,645,1,654,62,6,2,45,40,91,91,366,FAIRFAX NO. 2,004,005,3101,310.5466589,130.4554949,ALLENDALE,1187,70,3,428002.7363,3342696417,2276
104,161,1,165,44,6,2,45,40,91,91,367,MARTIN,005,005,392,215.6836527,75.9232745,ALLENDALE,306,44,2,249091.6098,2321599516,343
105,77,2,82,175,6,2,40,40,91,91,364,SYCAMORE,006,005,524,110.3940379,63.37732075,ALLENDALE,359,174,1,207930.4265,1188271534,462
106,65,5,68,99,6,2,40,40,91,91,365,ULMER,007,005,298,85.33038445,49.31388492,ALLENDALE,240,100,3,161790.6375,918488614,276
107,384,1,392,191,6,2,45,40,91,91,368,WOODS,008,005,1407,265.5621514,97.99831423,ALLENDALE,915,198,3,321516.1359,2858487208,1083
108,421,623,426,620,3,3,3,3,6,9,1894,ANDERSON 1/1,074,007,2099,4.873123389,12.2132661,ANDERSON,1898,14,12,40069.69052,52453863.61,2837
109,297,736,293,750,3,3,3,3,9,9,1895,ANDERSON 1/2,075,007,2850,2.269844797,7.462457415,ANDERSON,1375,18,11,24483.07904,24432406.05,1772
110,322,683,335,679,3,3,3,3,9,9,1889,ANDERSON 2/1,076,007,4362,2.619678951,7.294796605,ANDERSON,1402,21,15,23933.01186,28197989.55,1962
111,678,1096,699,1076,3,3,3,3,9,9,1888,ANDERSON 2/2,077,007,1715,5.222387607,10.9480045,ANDERSON,2635,30,33,35918.57811,56213312.36,5186
112,313,191,307,197,3,3,4,4,9,6,1885,ANDERSON 3/1,078,007,2535,2.42711452,7.247161151,ANDERSON,1026,12,11,23776.72788,26125243.26,1798
113,359,304,372,294,3,3,4,4,9,6,1907,ANDERSON 3/2,079,007,515,9.355933899,23.35465667,ANDERSON,1215,8,7,76622.73609,100706434.4,2093
114,552,117,563,107,3,3,4,4,9,6,1884,ANDERSON 4/1,080,007,2656,2.752716042,8.237630459,ANDERSON,1440,5,6,27026.2926,29629988.88,2544
115,988,352,1015,326,3,3,4,4,7,6,1882,ANDERSON 4/2,081,007,903,10.53102271,16.53624539,ANDERSON,2139,18,14,54252.66508,113354985.1,3352
116,603,148,606,132,3,3,4,4,8,6,1883,ANDERSON 5/B,083,007,3227,5.287172688,11.16327814,ANDERSON,1482,3,11,36624.85502,56910653.17,2459
117,514,786,523,774,3,3,3,3,6,9,1890,ANDERSON 6/1,084,007,1834,2.897400152,8.060052505,ANDERSON,2035,30,29,26443.68893,31187355.67,2878
118,447,208,464,189,3,3,4,4,6,6,1886,ANDERSON 6/2,085,007,1824,3.612630611,11.11838757,ANDERSON,1478,5,7,36477.57656,38886032.26,2602
119,273,239,285,211,3,3,3,3,6,6,1887,APPLETON-EQUINOX,009,007,2604,3.11178605,8.189886816,ANDERSON,1015,7,18,26869.65366,33494986.28,1916
120,31,300,34,297,3,3,4,4,7,7,1906,BARKER'S CREEK-MCADAMS,010,007,1985,20.15900102,22.51276945,ANDERSON,401,1,1,73860.64443,216989681.1,586
121,362,959,390,919,3,3,4,4,7,7,1900,BELTON,011,007,1665,17.43280995,25.49122576,ANDERSON,2002,19,27,83632.46317,187645204.6,3376
122,345,941,360,931,3,3,4,4,7,7,1871,BELTON ANNEX,111,007,1107,22.17636109,22.29896985,ANDERSON,1895,25,25,73159.20359,238704364.1,2832
123,387,1059,407,1049,3,3,3,3,6,8,1837,BISHOP'S BRANCH,013,007,4175,81.81951189,50.36384737,ANDERSON,2165,29,20,165235.3892,880697896.3,3108
124,85,471,90,461,3,3,3,4,9,9,1876,BOWLING GREEN,015,007,2679,19.07315202,21.65113332,ANDERSON,795,5,11,71033.75991,205301699.7,1232
125,305,167,315,159,3,3,4,4,7,6,1880,BROADVIEW,012,007,3040,7.558354125,17.73174713,ANDERSON,696,3,4,58174.90705,81357446.7,829
126,179,435,185,423,3,3,4,4,7,7,1877,BROADWAY,016,007,1102,18.58792574,24.70667171,ANDERSON,886,5,11,81058.47212,200078767.5,1332
127,401,1573,417,1567,3,3,3,3,10,10,1860,BRUSHY CREEK,017,007,2768,23.60087028,23.43080852,ANDERSON,2565,33,27,76872.57762,254037653.5,3341
128,188,818,192,815,3,3,4,4,7,7,1869,CEDAR GROVE,018,007,5133,35.04185871,30.30033558,ANDERSON,1489,11,8,99410.351,377187428,2437
129,472,1414,481,1396,3,3,3,3,8,8,1845,CENTER ROCK,157,007,1883,51.92644327,36.62816046,ANDERSON,2650,17,30,120170.8898,558931583.6,3616
130,614,1504,637,1470,3,3,3,3,8,8,1847,CENTERVILLE STATION A,019,007,3621,12.59297099,16.18327593,ANDERSON,2998,29,33,53094.63111,135549611.7,4083
131,645,1367,663,1354,3,3,3,3,8,6,1848,CENTERVILLE STATION B,091,007,3797,6.41553157,12.07945962,ANDERSON,2988,37,27,39630.69375,69056207.09,4150
132,190,229,202,209,3,3,4,4,7,7,1904,CHIQUOLA MILL,020,007,1408,4.277486625,9.279959812,ANDERSON,790,6,13,30446.00148,46042482.84,1411
133,653,1688,671,1677,3,3,3,3,10,10,1858,CONCRETE,021,007,3965,15.40887112,15.43455985,ANDERSON,3400,41,33,50638.21845,165859708.4,4982
134,289,569,283,586,3,3,3,3,9,9,1896,COX'S CREEK,093,007,1633,1.713812651,5.340617034,ANDERSON,1323,17,7,17521.67439,18447325.84,1878
135,70,691,75,677,3,3,4,4,7,7,1910,CRAYTONVILLE,023,007,2942,40.91895972,36.64029635,ANDERSON,1072,5,11,120210.7056,440448016.8,1617
136,302,899,314,891,3,3,3,3,8,8,1851,DENVER-SANDY SPRINGS,024,007,2251,28.16780455,35.79002068,ANDERSON,1741,19,18,117421.0929,303195724.9,2091
137,566,921,587,894,3,3,3,3,6,9,1891,EDGEWOOD STATION A,025,007,2797,12.22031092,18.29825832,ANDERSON,2442,19,22,60033.53585,131538332,3590
138,418,1180,427,1175,3,3,3,3,6,9,1892,EDGEWOOD STATION B,092,007,3670,8.191576635,17.55950237,ANDERSON,2200,22,20,57609.8007,88173397.07,2776
139,322,931,333,928,3,3,3,3,6,8,1853,FIVE FORKS,027,007,1390,39.88764331,32.04758532,ANDERSON,1640,17,11,105142.7862,429347019.3,2051
140,188,805,204,782,3,3,4,4,11,6,1843,FLAT ROCK,028,007,2585,27.2842712,26.87251747,ANDERSON,1567,13,17,88164.25106,293685451,2591
141,215,892,224,891,3,3,3,3,8,8,1834,FORK NO. 1,029,007,963,40.73699659,35.34307436,ANDERSON,1579,15,10,115954.7365,438489381.9,1967
142,240,999,256,981,3,3,3,3,8,2,1832,FORK NO. 2,030,007,1832,73.48494494,48.2056962,ANDERSON,1738,26,28,158154.855,790985364.3,2241
143,111,625,119,614,3,3,4,4,7,7,1903,FRIENDSHIP,031,007,1252,49.85432594,36.70233959,ANDERSON,1004,2,7,120414.2591,536627498.4,1366
144,514,1017,533,1005,3,3,3,3,9,9,1898,GLENVIEW,132,007,1778,5.119306275,14.65874398,ANDERSON,2049,16,7,48092.89588,55103754.14,2700
145,311,515,327,499,3,3,4,4,11,6,1909,GLUCK MILL,032,007,2391,5.639848694,14.97133723,ANDERSON,1482,8,13,49118.46224,60706826.1,2953
