PSN,unshared,area,pop,voteA,voteB,Cong2011,Sen2011,House2011,CongLWV,CongRuoff,SenLWV,HouseLWV,CongDraft,CongDrft2H,CongDrft3H,CongDrft2S,SenDraft,HouseDraft,HouseDrft2,HouseNAACP,county
184,0,19.92251598,3465,448,1239,3,4,9,3,3,4,7,3,3,3,3,4,9,9,9,ANDERSON
185,0,19.64626265,5038,334,1531,3,4,9,3,3,4,7,3,3,3,3,4,9,9,9,ANDERSON
186,0,60.55961779,1193,59,552,3,4,7,3,3,4,7,3,3,3,3,4,7,7,11,ANDERSON
187,0,69.92836931,228,49,91,6,40,90,6,6,40,91,6,6,6,6,40,90,90,90,BAMBERG
188,0,78.41592562,3078,983,239,6,40,90,6,6,40,91,6,6,6,6,40,90,90,90,BAMBERG
189,0,105.1193306,410,80,158,6,40,90,6,6,40,91,6,6,6,6,40,90,90,90,BAMBERG
190,0,122.8871696,1013,220,294,6,40,90,6,6,40,91,6,6,6,6,40,90,90,90,BAMBERG
191,0,61.20261179,352,72,37,6,40,90,6,6,40,91,6,6,6,6,40,90,90,90,BAMBERG
192,0,21.77384703,111,31,33,6,40,90,6,6,40,91,6,6,6,6,40,90,90,90,BAMBERG
193,0,44.116298,274,76,80,6,40,90,6,6,40,91,6,6,6,6,40,90,90,90,BAMBERG
194,0,48.28622113,187,9,81,6,40,90,6,6,40,91,6,6,6,6,40,90,90,90,BAMBERG
195,0,28.67725712,161,11,89,6,40,90,6,6,40,91,6,6,6,6,40,90,90,90,BAMBERG
196,0,78.00981893,2664,683,654,6,40,90,6,6,40,91,6,6,6,6,40,90,90,90,BAMBERG
197,0,90.17452214,497,93,137,6,40,90,6,6,40,91,6,6,6,6,40,90,90,90,BAMBERG
198,0,179.9503584,2738,1072,344,6,40,90,6,6,40,91,6,6,6,6,40,90,90,90,BAMBERG
199,0,95.95983237,1598,675,132,6,40,90,6,6,40,91,6,6,6,6,40,90,90,90,BAMBERG
200,0,46.50513563,1275,260,216,2,40,91,2,6,40,91,2,2,2,6,40,91,91,91,BARNWELL
201,0,45.79149766,2430,419,665,2,40,91,6,6,40,91,2,2,2,6,40,91,91,91,BARNWELL
202,0,35.71530342,2223,492,725,2,40,91,6,6,40,91,2,2,2,6,40,91,91,91,BARNWELL
203,0,32.48013182,1888,586,381,2,40,91,2,6,40,91,2,2,2,6,40,91,91,91,BARNWELL
204,0,66.75051978,1299,435,209,2,40,91,6,6,40,91,2,2,2,6,40,91,91,91,BARNWELL
205,0,28.63071348,769,270,123,2,40,90,6,6,40,91,2,2,2,6,40,91,91,91,BARNWELL
206,0,59.43621855,695,191,243,2,40,91,6,6,40,91,2,2,2,6,40,91,91,91,BARNWELL
207,0,52.48462142,987,38,447,2,40,90,2,2,40,91,2,2,2,6,40,91,91,91,BARNWELL
208,0,94.96102633,1207,462,152,2,40,91,6,6,40,91,2,2,2,6,40,91,91,91,BARNWELL
209,0,67.74642978,1298,78,560,2,40,90,2,2,40,91,2,2,2,6,40,91,91,91,BARNWELL
210,0,142.4579377,792,175,230,2,40,90,2,2,40,91,2,2,2,6,40,91,91,91,BARNWELL
211,0,121.8344275,1665,401,459,2,40,91,2,2,40,91,2,2,2,6,40,91,91,91,BARNWELL
212,0,493.3840918,5,0,0,2,40,91,2,2,40,91,2,2,2,6,40,91,91,91,BARNWELL
213,0,76.51419744,1863,597,333,2,40,91,6,2,40,91,2,2,2,6,40,91,91,91,BARNWELL
214,0,38.34684521,825,136,280,2,40,91,6,6,40,91,2,2,2,6,40,91,91,91,BARNWELL
215,0,40.26409878,1368,251,345,2,40,91,6,2,40,91,2,2,2,6,40,91,91,91,BARNWELL
216,0,4.39336817,1606,525,194,1,46,121,2,2,43,121,1,2,1,1,45,121,121,121,BEAUFORT
217,0,4.996452765,1438,427,388,1,46,124,2,2,43,121,1,2,1,1,45,124,124,124,BEAUFORT
218,0,4.82278879,1932,481,544,1,46,124,2,2,43,124,1,2,1,1,45,124,124,124,BEAUFORT
219,0,11.14449053,2568,562,1088,1,46,120,2,2,46,120,1,2,1,1,46,120,120,118,BEAUFORT
220,0,6.608690633,2885,617,631,1,46,118,2,2,46,120,1,2,1,1,46,118,118,123,BEAUFORT
221,0,4.060606054,1769,281,453,1,46,120,2,2,46,120,1,2,1,1,46,120,120,120,BEAUFORT
222,0,59.24260929,3263,474,780,1,46,120,2,2,46,120,1,2,1,1,46,120,120,123,BEAUFORT
223,0,4.793536225,3776,564,496,1,46,118,2,2,46,120,1,2,1,1,46,120,120,120,BEAUFORT
224,0,1.542280984,2380,390,388,1,46,120,2,2,46,120,1,2,1,1,46,120,120,118,BEAUFORT
225,0,2.792426955,2351,462,522,1,46,118,2,2,46,118,1,2,1,1,46,118,118,118,BEAUFORT
226,0,43.11623651,3831,851,1275,1,45,118,2,2,46,120,1,2,1,1,46,118,118,123,BEAUFORT
227,0,4.771254983,2976,607,1051,1,46,118,2,2,46,118,1,2,1,1,46,118,118,123,BEAUFORT
228,0,4.780648665,3197,659,386,1,46,118,2,2,46,120,1,2,1,1,46,120,120,118,BEAUFORT
229,0,75.82062864,1289,266,594,1,46,120,2,2,46,123,1,2,1,1,46,120,120,120,BEAUFORT
230,0,25.21454489,1384,280,716,1,46,120,2,2,46,120,1,2,1,1,46,120,120,118,BEAUFORT
231,0,4.734697489,2308,499,787,1,46,120,2,2,46,118,1,2,1,1,46,120,120,118,BEAUFORT
232,0,7.982606672,3038,646,1149,1,46,118,2,2,46,118,1,2,1,1,46,118,118,118,BEAUFORT
233,0,12.55773841,2483,563,1073,1,46,118,2,2,46,118,1,2,1,1,46,118,118,118,BEAUFORT
234,0,8.391315929,2881,542,888,1,46,120,2,2,46,118,1,2,1,1,46,120,120,118,BEAUFORT
235,0,3.980596105,1906,369,517,1,46,120,2,2,46,120,1,2,1,1,46,120,120,118,BEAUFORT
236,0,9.968306318,3780,643,742,1,46,120,2,2,43,124,1,2,1,1,43,120,120,118,BEAUFORT
237,0,8.638083839,2305,675,141,1,45,121,2,2,45,121,1,2,1,1,45,121,121,121,BEAUFORT
238,0,18.78223853,2843,798,577,6,46,120,2,2,43,121,1,2,1,1,45,120,120,118,BEAUFORT
239,0,7.787037944,3232,203,183,6,45,120,2,2,45,121,1,2,1,1,45,121,121,118,BEAUFORT
240,0,69.38297742,8096,516,645,1,43,124,2,2,43,124,1,2,1,1,43,124,124,124,BEAUFORT
241,0,14.29078363,3410,599,671,1,46,124,2,2,43,124,1,2,1,1,43,124,124,124,BEAUFORT
242,0,10.52541142,2785,561,942,1,46,124,2,2,43,124,1,2,1,1,43,124,124,124,BEAUFORT
243,0,28.29429767,3109,221,127,1,45,121,2,2,45,121,1,2,1,1,45,121,121,121,BEAUFORT
244,0,133.4608965,1772,493,926,1,46,120,2,2,46,120,1,2,1,1,46,120,120,118,BEAUFORT
245,0,12.03905932,2442,543,854,1,46,120,2,2,46,118,1,2,1,1,46,120,120,118,BEAUFORT
246,0,174.4398489,1448,586,250,6,45,121,2,2,45,121,6,2,1,1,45,121,121,121,BEAUFORT
