OID_,ID,VTD,COUNTY,STATE,NAME,POPULATION,PSN,CountyName,Reg_Voters,PresBlue,PresRed,PresOther,SenBlue,SenRed,SenOther,Pct_Area,Pct_Perim,Cong2011,Sen2011,House2011,Cong2021,Sen2021,House2021,Shape_Leng,Shape_Area,SenPlan,HousePlan,HouseDrft2,CongDraft,CongRuoff,CongDrft2H,CongDrft3H
55,1501780.000000000000000,45063000089,45063,45,BARR ROAD 2,5274,1481.000000000000000,LEXINGTON,3683.000000000000000,912.000000000000000,1842.000000000000000,54.000000000000000,924.000000000000000,1847.000000000000000,43.000000000000000,10.187171181700000,14.045578503300000,2,25,87,2,23,69,0.138579255241000,0.000993523241110,23,87,87,2,2,2,2
56,1501799.000000000000000,45063000073,45063,45,PARK ROAD 1,3091,1535.000000000000000,LEXINGTON,2279.000000000000000,510.000000000000000,1125.000000000000000,30.000000000000000,515.000000000000000,1128.000000000000000,26.000000000000000,4.691122626100000,11.485194611500001,2,18,87,2,23,69,0.117690915837000,0.000457736656020,10,87,87,2,2,2,2
57,1501818.000000000000000,45063000003,45063,45,LAKE MURRAY 1,3078,1517.000000000000000,LEXINGTON,2383.000000000000000,381.000000000000000,1409.000000000000000,25.000000000000000,368.000000000000000,1411.000000000000000,39.000000000000000,25.317726403399998,23.761242618099999,2,18,87,2,18,40,0.233550910865000,0.002471469276360,10,87,87,2,2,2,2
58,1501840.000000000000000,45063000004,45063,45,MOUNT HOREB,3132,1529.000000000000000,LEXINGTON,2511.000000000000000,526.000000000000000,1441.000000000000000,28.000000000000000,520.000000000000000,1452.000000000000000,24.000000000000000,6.839907009250000,10.773079709599999,2,18,87,2,18,69,0.108397206825000,0.000667591633569,10,87,87,2,2,2,2
59,1501859.000000000000000,45081000006,45081,45,Higgins/Zoar,1303,1943.000000000000000,SALUDA,717.000000000000000,222.000000000000000,235.000000000000000,4.000000000000000,229.000000000000000,227.000000000000000,8.000000000000000,115.969073073000004,58.835393050599997,3,10,39,3,10,39,0.579955183350000,0.011331965749300,10,39,39,3,3,3,3
60,1501881.000000000000000,45081000008,45081,45,Hollywood,1697,1945.000000000000000,SALUDA,1296.000000000000000,136.000000000000000,864.000000000000000,9.000000000000000,139.000000000000000,854.000000000000000,13.000000000000000,132.633609320000005,68.126770248400007,3,10,39,3,10,39,0.679387527830000,0.012957201648700,10,39,39,3,3,3,3
61,1501903.000000000000000,45071000011,45071,45,Bush River,441,1618.000000000000000,NEWBERRY,329.000000000000000,68.000000000000000,191.000000000000000,0.000000000000000,69.000000000000000,187.000000000000000,1.000000000000000,116.114797745000004,61.664405043700000,3,18,40,3,17,14,0.622438079299000,0.011370602504400,18,40,40,3,3,3,3
62,1501924.000000000000000,45071000039,45071,45,Silverstreet,1027,1640.000000000000000,NEWBERRY,789.000000000000000,198.000000000000000,386.000000000000000,3.000000000000000,201.000000000000000,377.000000000000000,7.000000000000000,112.258913102999998,49.703951768499998,3,18,40,3,17,14,0.503460288604000,0.010984040335100,18,40,40,3,3,3,3
63,1501944.000000000000000,45071000017,45071,45,Hartford,1831,1622.000000000000000,NEWBERRY,1198.000000000000000,333.000000000000000,464.000000000000000,6.000000000000000,337.000000000000000,447.000000000000000,14.000000000000000,94.776546284399998,68.165014005000003,3,18,40,3,17,14,0.683983338746000,0.009270250987990,18,40,40,3,3,3,3
64,1604004.000000000000000,45079000501,45079,45,Spring Hill,3572,1890.000000000000000,RICHLAND,2666.000000000000000,455.000000000000000,1704.000000000000000,38.000000000000000,470.000000000000000,1699.000000000000000,35.000000000000000,70.868629375799998,46.661287354300001,2,20,71,6,18,71,0.471135655487000,0.006930857348950,18,71,71,2,6,5,2
